id,name
1,category
2,ΙΚΑ
3,ΑΣΤΥΝΟΜΙΑ
4,ΠΑΙΔΕΙΑ - ΚΕΝΤΡΟ ΔΑΥ ΑΤΟΜΩΝ ΜΕ ΕΙΔΙΚΕΣ ΑΝΑΓΚΕΣ
5,ΕΚΚΑ
6,ΠΑΙΔΕΙΑ  - ΙΕΚ
7,Ε.Σ.Υ.Ε
8,ΝΟΜΑΡΧΙΑ - ΜΗ ΚΕΝΤΡΙΚΟ ΚΤΙΡΙΟ
9,ΔΙΚΑΣΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ
10,ΛΟΙΠΟΙ ΦΟΡΕΙΣ (ΜΙΝΙ ΣΥΖΕΥΞΙΣ)
11,ΕΙΣ.ΠΡΩΤΟΔΙΚΩΝ
12,TAMEIO
13,ΔΗΜΟΣ
14,ΠΑΙΔΕΙΑ - ΓΡΑΣΕΠ
15,ΠΑΙΔΕΙΑ - ΓΕΝΙΚΑ ΑΡΧΕΙΑ ΚΡΑΤΟΥΣ
16,ΤΑΜΕΙΟ
17,ΠΕΡΙΦΕΡΕΙΑ
18,ΦΟΡΕΑΣ ΥΓΕΙΑΣ
19,ΠΑΙΔΕΙΑ - ΚΕΣΥΠ
20,ΕΚΑΒ
21,ΠΥΡΟΣΒΕΣΤΙΚΗ
22,ΚΟΙΝΟΤΗΤΑ
23,ΤΝΠ
24,ΚΕΠ
25,ΑΔΕΔΥ
26,Δ.Ο.Υ.
27,ΥΠΟΥΡΓΕΙΟ - ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ
28,ΔΙΑΧΕΙΡΙΣΤΙΚΗ ΑΡΧΗ
29,ΠΟΛΕΟΔΟΜΙΑ
30,ΙΓΜΕ
31,ΠΑΙΔΕΙΑ - ΣΧΟΛΕΙΟ ΔΕΥΤΕΡΗΣ ΕΥΚΑΙΡΙΑΣ
32,ΠΑΙΔΕΙΑ - ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ
33,ΠΑΙΔΕΙΑ - ΚΕΝΤΡΟ ΠΕΡΙΒΑΛΛΟΝΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ
34,ΠΑΙΔΕΙΑ - ΣΥΜΒΟΥΛΕΥΤΙΚΟΣ ΣΤΑΘΜΟΣ ΝΕΩΝ
35,ΠΑΙΔΕΙΑ - ΚΕΝΤΡΟ ΕΚΠΑΙΔΕΥΣΗΣ ΕΝΗΛΙΚΩΝ
36,ΠΑΙΔΕΙΑ - ΕΡΓΑΣΤΗΡΙΑΚΟ ΚΕΝΤΡΟ ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ
37,ΧΗΜΙΚΕΣ ΥΠΗΡΕΣΙΕΣ
38,ΤΕΛΩΝΕΙΟ
39,ΠΑΙΔΕΙΑ - ΙΕΚ
40,ΟΑΕΕ
41,ΝΟΜΑΡΧΙΑ
42,ΠΡΩΤΟΔΙΚΕΙΟ
43,ΛΟΙΠΟΙ ΦΟΡΕΙΣ
44,ΠΑΙΔΕΙΑ - ΚΕΝΤΡΟ ΔΙΑΓΝΩΣΗΣ ΑΞΙΟΛΟΓΗΣΗΣ ΚΑΙ ΥΠΟΣΤΗΡΙΞΗΣ ΑΤΟΜΩΝ ΜΕ ΕΙΔΙΚΕΣ ΕΚΠΑΙΔΕΥΤΙΚΕΣ ΑΝΑΓΚΕΣ
45,ΚΕΝΤΡΙΚΗ ΥΠΗΡΕΣΙΑ
46,ΓΛΚ
47,Δ.Ο.Υ. (ΚΛΙΜΑΚΙΑ)
48,ΠΑΙΔΕΙΑ - ΓΡΑΦΕΙΟ
49,ΠΑΙΔΕΙΑ - ΒΙΒΛΙΟΘΗΚΗ
50,ΓΕΩΔΥΝΑΜΙΚΟ
51,ΠΑΙΔΕΙΑ - ΕΠΑ.Λ.
52,ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ
53,ΛΙΜΕΝΑΡΧΕΙΟ
54,ΚΤΗΜΑΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ
55,ΠΑΙΔΕΙΑ - ΕΙΔΙΚΟ ΕΡΓΑΣΤΗΡΙΟ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ
56,ΣΤΡΑΤΟΛΟΓΙΚΟ ΓΡΑΦΕΙΟ
57,ΑΣΦΑΛΙΣΤΙΚΑ ΤΑΜΕΙΑ
58,ΠΑΙΔΕΙΑ - ΠΕΡΙΦΕΡΕΙΑΚΟ ΕΠΙΜΟΡΦΩΤΙΚΟ ΚΕΝΤΡΟ
59,ΠΑΙΔΕΙΑ - ΤΕΕ
60,ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ
61,ΠΑΙΔΕΙΑ - ΕΕΕΕΚ
62,ΠΑΙΔΕΙΑ - ΣΕΚ
63,ΕΛΕΓΚΤΙΚΗ ΥΠΗΡΕΣΙΑ
64,ΚΕΝΤΡΟ ΥΓΕΙΑΣ
65,ΟΓΑ
66,ΥΠΕ
67,ΠΑΙΔΕΙΑ
68,ΠΑΙΔΕΙΑ - HELPDESK
69,ΟΑΕΔ
70,ΝΟΣΟΚΟΜΕΙΟ
71,ΜΟΥΣΕΙΑ
72,ΣΩΦΡΟΝΙΣΤΙΚΑ
